,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,PREVIOUS_BETA_MAN,PREVIOUS_BETA_WERDEN,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE,CORPUS
39329,werden,werden,S,54,3.9889840465642745,False,False,True,20171127C,55_VACC,8,True,VACC
39425,werden,man,J,42,3.737669618283368,False,False,True,20171127C,55_VACC,7,True,VACC
39550,werden,man,J,12,2.4849066497880004,False,False,True,20171127C,55_VACC,9,True,VACC
41591,man,man,S,21,3.044522437723423,False,False,False,20171128A,59_VACC,15,True,VACC
41626,werden,man,J,17,2.833213344056216,False,False,False,20171128A,59_VACC,6,True,VACC
41766,werden,werden,S,140,4.941642422609304,False,False,False,20171128A,59_VACC,12,True,VACC
42128,werden,man,J,140,4.941642422609304,False,True,False,20171128A,59_VACC,33,True,VACC
42133,werden,werden,S,5,1.6094379124341005,False,True,False,20171128A,59_VACC,8,True,VACC
42221,werden,werden,S,88,4.477336814478207,False,False,False,20171128A,59_VACC,6,True,VACC
44762,werden,werden,J,9,2.1972245773362196,False,False,True,20171128B,63_VACC,6,True,VACC
45405,werden,man,J,513,6.240275845170769,False,True,False,20171128B,63_VACC,39,True,VACC
45447,werden,werden,A,15,2.70805020110221,False,False,True,20171128B,63_VACC,8,True,VACC
47634,werden,werden,S,16,2.772588722239781,False,True,False,20171129A,67_VACC,6,True,VACC
47679,werden,werden,S,45,3.80666248977032,False,False,True,20171129A,67_VACC,13,True,VACC
47711,man,werden,S,32,3.4657359027997265,True,False,False,20171129A,67_VACC,20,True,VACC
47740,man,man,S,29,3.367295829986474,True,False,False,20171129A,67_VACC,7,True,VACC
48272,werden,man,J,81,4.394449154672439,False,False,False,20171129A,67_VACC,20,True,VACC
48355,werden,man,J,48,3.871201010907891,False,False,False,20171129A,67_VACC,6,True,VACC
48402,werden,werden,S,47,3.8501476017100584,False,False,False,20171129A,67_VACC,29,True,VACC
48456,werden,werden,A,15,2.70805020110221,False,False,True,20171129A,67_VACC,8,True,VACC
50914,werden,man,S,101,4.61512051684126,True,False,False,20171129B,72_VACC,43,True,VACC
50961,werden,werden,S,47,3.8501476017100584,False,True,True,20171129B,72_VACC,6,True,VACC
51799,man,man,J,671,6.508769136971682,False,False,True,20171129B,72_VACC,12,True,VACC
51876,werden,man,J,51,3.9318256327243257,False,True,False,20171129B,72_VACC,30,True,VACC
51913,werden,werden,A,15,2.70805020110221,False,False,True,20171129B,72_VACC,9,True,VACC
52330,man,man,S,285,5.652489180268651,False,False,False,20171129C,73_VACC,40,True,VACC
54231,werden,werden,J,21,3.044522437723423,False,False,True,20171129C,76_VACC,6,True,VACC
54324,man,werden,S,93,4.532599493153256,False,True,False,20171129C,76_VACC,24,True,VACC
54342,man,man,S,18,2.8903717578961645,False,True,False,20171129C,76_VACC,15,True,VACC
54643,man,man,S,301,5.707110264748875,False,False,False,20171129C,76_VACC,11,True,VACC
54776,man,man,J,110,4.700480365792417,False,True,False,20171129C,76_VACC,46,True,VACC
